序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
197,pt196,3483083.0505,1224238.1251,35.0035," 31:14:40.84298"," 121:35:32.85722",35.0035,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:27.0,2020-01-02 11:15:27.0,2020-01-02 03:15:27.0,2020-01-02 03:15:27.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 197:42:44.54"
198,pt197,3483083.0474,1224238.1255,35.0115," 31:14:40.84288"," 121:35:32.85722",35.0115,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:28.0,2020-01-02 11:15:28.0,2020-01-02 03:15:28.0,2020-01-02 03:15:28.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 198:15:08.54"
199,pt198,3483083.0493,1224238.1277,35.0065," 31:14:40.84294"," 121:35:32.85731",35.0065,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:29.0,2020-01-02 11:15:29.0,2020-01-02 03:15:29.0,2020-01-02 03:15:29.0,,1.0,34,20,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:37"," 197:01:06.17"
200,pt199,3483083.0478,1224238.1259,35.0065," 31:14:40.84289"," 121:35:32.85724",35.0065,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:30.0,2020-01-02 11:15:30.0,2020-01-02 03:15:30.0,2020-01-02 03:15:30.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:00"," 195:27:35.29"
201,pt200,3483083.0483,1224238.1273,35.0055," 31:14:40.84291"," 121:35:32.85729",35.0055,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:31.0,2020-01-02 11:15:31.0,2020-01-02 03:15:31.0,2020-01-02 03:15:31.0,,1.0,34,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 195:56:24.72"
202,pt201,3483083.0493,1224238.1272,35.0065," 31:14:40.84294"," 121:35:32.85729",35.0065,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:32.0,2020-01-02 11:15:32.0,2020-01-02 03:15:32.0,2020-01-02 03:15:32.0,,1.0,33,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:48:09.06"
203,pt202,3483083.0480,1224238.1279,35.0085," 31:14:40.84289"," 121:35:32.85732",35.0085,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:33.0,2020-01-02 11:15:33.0,2020-01-02 03:15:33.0,2020-01-02 03:15:33.0,,1.0,33,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:16"," 198:42:31.18"
204,pt203,3483083.0522,1224238.1251,35.0095," 31:14:40.84303"," 121:35:32.85722",35.0095,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:34.0,2020-01-02 11:15:34.0,2020-01-02 03:15:34.0,2020-01-02 03:15:34.0,,1.0,33,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:12"," 197:43:18.62"
205,pt204,3483083.0472,1224238.1263,35.0095," 31:14:40.84287"," 121:35:32.85726",35.0095,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:35.0,2020-01-02 11:15:35.0,2020-01-02 03:15:35.0,2020-01-02 03:15:35.0,,1.0,33,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:03"," 198:20:32.54"
206,pt205,3483083.0503,1224238.1263,35.0045," 31:14:40.84297"," 121:35:32.85726",35.0045,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:15:36.0,2020-01-02 11:15:36.0,2020-01-02 03:15:36.0,2020-01-02 03:15:36.0,,1.0,33,19,1.6000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:54"," 198:07:30.93"
