序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
35,pt34,3483083.0502,1224238.1201,35.0065," 31:14:40.84298"," 121:35:32.85703",35.0065,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:11.0,2020-01-02 10:50:11.0,2020-01-02 02:50:11.0,2020-01-02 02:50:11.0,,2.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:36:26.70"
36,pt35,3483083.0537,1224238.1216,35.0135," 31:14:40.84309"," 121:35:32.85710",35.0135,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:12.0,2020-01-02 10:50:12.0,2020-01-02 02:50:12.0,2020-01-02 02:50:12.0,,2.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:14:48.72"
37,pt36,3483083.0565,1224238.1203,35.0165," 31:14:40.84319"," 121:35:32.85705",35.0165,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:13.0,2020-01-02 10:50:13.0,2020-01-02 02:50:13.0,2020-01-02 02:50:13.0,,2.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:58:16.25"
38,pt37,3483083.0581,1224238.1201,35.0085," 31:14:40.84324"," 121:35:32.85705",35.0085,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:14.0,2020-01-02 10:50:14.0,2020-01-02 02:50:14.0,2020-01-02 02:50:14.0,,2.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:45"," 191:42:07.02"
39,pt38,3483083.0593,1224238.1221,35.0015," 31:14:40.84327"," 121:35:32.85713",35.0015,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:15.0,2020-01-02 10:50:15.0,2020-01-02 02:50:15.0,2020-01-02 02:50:15.0,,2.0,31,16,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:54:04.41"
40,pt39,3483083.0574,1224238.1214,35.0025," 31:14:40.84321"," 121:35:32.85710",35.0025,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:16.0,2020-01-02 10:50:16.0,2020-01-02 02:50:16.0,2020-01-02 02:50:16.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:27:24.72"
41,pt40,3483083.0594,1224238.1212,35.0035," 31:14:40.84327"," 121:35:32.85709",35.0035,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:17.0,2020-01-02 10:50:17.0,2020-01-02 02:50:17.0,2020-01-02 02:50:17.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:13:36.72"
42,pt41,3483083.0570,1224238.1192,35.0085," 31:14:40.84320"," 121:35:32.85701",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:18.0,2020-01-02 10:50:18.0,2020-01-02 02:50:18.0,2020-01-02 02:50:18.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 194:52:00.72"
43,pt42,3483083.0579,1224238.1221,35.0025," 31:14:40.84323"," 121:35:32.85712",35.0025,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:19.0,2020-01-02 10:50:19.0,2020-01-02 02:50:19.0,2020-01-02 02:50:19.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:02:48.72"
44,pt43,3483083.0588,1224238.1192,35.0055," 31:14:40.84326"," 121:35:32.85702",35.0055,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:20.0,2020-01-02 10:50:20.0,2020-01-02 02:50:20.0,2020-01-02 02:50:20.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:37:16.41"
45,pt44,3483083.0588,1224238.1229,35.0155," 31:14:40.84325"," 121:35:32.85716",35.0155,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:21.0,2020-01-02 10:50:21.0,2020-01-02 02:50:21.0,2020-01-02 02:50:21.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:33:24.72"
46,pt45,3483083.0586,1224238.1204,35.0085," 31:14:40.84325"," 121:35:32.85706",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:22.0,2020-01-02 10:50:22.0,2020-01-02 02:50:22.0,2020-01-02 02:50:22.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:22:00.72"
47,pt46,3483083.0563,1224238.1223,35.0105," 31:14:40.84317"," 121:35:32.85713",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:23.0,2020-01-02 10:50:23.0,2020-01-02 02:50:23.0,2020-01-02 02:50:23.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:14:48.72"
48,pt47,3483083.0545,1224238.1225,35.0105," 31:14:40.84311"," 121:35:32.85713",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:24.0,2020-01-02 10:50:24.0,2020-01-02 02:50:24.0,2020-01-02 02:50:24.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:15:40.41"
49,pt48,3483083.0581,1224238.1192,35.0105," 31:14:40.84324"," 121:35:32.85702",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:25.0,2020-01-02 10:50:25.0,2020-01-02 02:50:25.0,2020-01-02 02:50:25.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:30:46.44"
50,pt49,3483083.0560,1224238.1193,35.0095," 31:14:40.84317"," 121:35:32.85702",35.0095,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:50:26.0,2020-01-02 10:50:26.0,2020-01-02 02:50:26.0,2020-01-02 02:50:26.0,,1.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:45:24"," 194:16:32.82"
51,pt50,3483083.0549,1224238.1177,35.0105," 31:14:40.84314"," 121:35:32.85695",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:27.0,2020-01-02 10:50:27.0,2020-01-02 02:50:27.0,2020-01-02 02:50:27.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 194:26:43.93"
52,pt51,3483083.0566,1224238.1188,35.0105," 31:14:40.84319"," 121:35:32.85700",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:28.0,2020-01-02 10:50:28.0,2020-01-02 02:50:28.0,2020-01-02 02:50:28.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:53:28.25"
